1=0.1632861520501969,0=0.13774989055887918,7=0.12549248504304675,11=0.11688311688311678,9=0.09528673573617388,10=0.09178461987450749,4=0.05895228367138473,5=0.040274332409163824,8=0.0377936670071501,12=0.03516708011090028,6=0.03327010068583097,2=0.032978257697358765,3=0.03108127827228946,
2=0.561245164855406,7=0.11742494013630497,10=0.06253453674709894,1=0.059955792963713415,5=0.028274083624976975,0=0.027537299686866818,12=0.02505065389574507,8=0.024958555903481304,6=0.021182538220666788,4=0.0199852643212378,3=0.01832750046048997,9=0.01676183459200591,11=0.016761834592005906,
10=0.2435393258426966,5=0.08623595505617974,8=0.08174157303370785,12=0.07134831460674151,1=0.06853932584269659,0=0.06601123595505615,6=0.06460674157303367,4=0.06292134831460669,3=0.05421348314606738,11=0.05056179775280891,9=0.05028089887640441,2=0.04999999999999991,7=0.04999999999999991,
10=0.20752121073148364,4=0.20087135977986714,0=0.07590002293052053,5=0.07383627608346709,8=0.06305893143774365,12=0.06122448979591836,1=0.053886723228617275,6=0.05090575556065123,3=0.045631735840403594,11=0.0428800733776657,7=0.04196285255675307,9=0.041274936941068596,2=0.04104563173584044,
0=0.23804546642278557,5=0.12464071073948277,8=0.08727462764567556,12=0.07865168539325851,9=0.07159655082309911,6=0.05513457015939384,3=0.05408936503788874,4=0.052782858636007374,11=0.04990854455186836,1=0.047818134308858166,2=0.04677292918735307,10=0.04677292918735307,7=0.0465116279069768,
5=0.16179775280898856,8=0.11974317817014433,12=0.10882825040128398,0=0.0741573033707864,6=0.06934189406099507,4=0.06388443017656491,3=0.05874799357945414,10=0.05778491171749588,1=0.05714285714285703,2=0.05714285714285703,7=0.05714285714285703,9=0.05714285714285703,11=0.05714285714285703,
5=0.16292134831460675,12=0.11516853932584267,8=0.11048689138576778,3=0.07521847690387007,0=0.0733458177278401,4=0.06304619225967531,6=0.06273408239700365,1=0.05711610486891375,10=0.05680399500624209,2=0.05586766541822711,7=0.05586766541822711,11=0.05586766541822711,9=0.05555555555555545,
5=0.1672552166934187,8=0.11396468699839474,12=0.10818619582664514,0=0.07351524879614754,6=0.06998394863563391,4=0.06516853932584259,3=0.05842696629213472,1=0.05746388443017645,9=0.05746388443017645,2=0.05714285714285703,7=0.05714285714285703,10=0.05714285714285703,11=0.05714285714285703,
5=0.159871589085072,8=0.11845906902086666,12=0.11300160513643649,0=0.07608346709470291,4=0.06677367576243971,6=0.06356340288924547,3=0.058747993579454136,1=0.05778491171749586,2=0.05714285714285703,7=0.05714285714285703,9=0.05714285714285703,10=0.05714285714285703,11=0.05714285714285703,
0=0.24387129724208367,5=0.12410623084780394,8=0.08784473953013275,12=0.0806945863125639,9=0.07099080694586316,1=0.05311542390194079,3=0.052093973442288076,6=0.051838610827374926,11=0.04928498467824311,4=0.04902962206332993,7=0.045965270684371784,10=0.04570990806945861,2=0.04545454545454543,
7=0.3828109599842302,5=0.1030948156909127,8=0.07017543859649124,12=0.065050266114725,2=0.053222945002956865,0=0.04711216242854332,9=0.04533806426177811,6=0.0433668440764834,4=0.04119850187265924,3=0.040410013798541346,11=0.037256061502069844,1=0.03587620737236356,10=0.03508771929824569,
0=0.2791510611735328,5=0.11835205992509351,8=0.08314606741573025,12=0.06966292134831453,9=0.061922596754057396,11=0.05393258426966288,6=0.05243445692883891,3=0.05143570536828959,4=0.05018726591760296,1=0.04619225967540569,10=0.04469413233458171,2=0.04444444444444438,7=0.04444444444444438,
5=0.17430914060127536,8=0.12359550561797748,12=0.11539629517157605,6=0.06893410264196781,0=0.06863042818098998,4=0.06529000911023385,3=0.05860917096872154,1=0.054661402976009715,10=0.054357728515031886,2=0.05405405405405404,7=0.05405405405405404,9=0.05405405405405404,11=0.05405405405405404,
0=0.23501872659176035,9=0.1343632958801499,5=0.11235955056179782,12=0.08473782771535585,8=0.07514044943820226,4=0.04985955056179774,6=0.04892322097378274,3=0.046582397003745266,11=0.04494382022471906,1=0.04236891385767785,7=0.04190074906367036,2=0.041900749063670355,10=0.041900749063670355,
1=0.13804173354735147,2=0.0730337078651685,3=0.07223113964686993,5=0.07223113964686993,4=0.07182985553772066,7=0.07182985553772066,9=0.07182985553772066,10=0.07182985553772066,0=0.07142857142857138,6=0.07142857142857138,8=0.07142857142857138,11=0.07142857142857138,12=0.07142857142857138,
